"","access1-0.1.rcp45","access1-0.1.rcp85","access1-3.1.rcp45","access1-3.1.rcp85","bcc-csm1-1.1.rcp45","bcc-csm1-1.1.rcp85","bcc-csm1-1-m.1.rcp45","bcc-csm1-1-m.1.rcp85","canesm2.1.rcp45","canesm2.1.rcp85","ccsm4.6.rcp45","ccsm4.6.rcp85","cesm1-bgc.1.rcp45","cesm1-bgc.1.rcp85","cesm1-cam5.1.rcp45","cesm1-cam5.1.rcp85","cmcc-cm.1.rcp45","cmcc-cm.1.rcp85","cnrm-cm5.1.rcp45","cnrm-cm5.1.rcp85","csiro-mk3-6-0.1.rcp45","csiro-mk3-6-0.1.rcp85","ec-earth.8.rcp45","ec-earth.2.rcp85","fgoals-g2.1.rcp45","fgoals-g2.1.rcp85","gfdl-cm3.1.rcp45","gfdl-cm3.1.rcp85","gfdl-esm2g.1.rcp45","gfdl-esm2g.1.rcp85","gfdl-esm2m.1.rcp45","gfdl-esm2m.1.rcp85","giss-e2-r.6.rcp45","giss-e2-r.2.rcp85","hadgem2-ao.1.rcp45","hadgem2-ao.1.rcp85","hadgem2-cc.1.rcp45","hadgem2-cc.1.rcp85","hadgem2-es.1.rcp45","hadgem2-es.1.rcp85","inmcm4.1.rcp45","inmcm4.1.rcp85","ipsl-cm5a-lr.1.rcp45","ipsl-cm5a-lr.1.rcp85","ipsl-cm5a-mr.1.rcp45","ipsl-cm5a-mr.1.rcp85","miroc-esm.1.rcp45","miroc-esm.1.rcp85","miroc-esm-chem.1.rcp45","miroc-esm-chem.1.rcp85","miroc5.1.rcp45","miroc5.1.rcp85","mpi-esm-lr.1.rcp45","mpi-esm-lr.1.rcp85","mpi-esm-mr.1.rcp45","mpi-esm-mr.1.rcp85","mri-cgcm3.1.rcp45","mri-cgcm3.1.rcp85","noresm1-m.1.rcp45","noresm1-m.1.rcp85","cmcc-cms.1.rcp45","cmcc-cms.1.rcp85","giss-e2-h.6.rcp45","giss-e2-h.2.rcp85"
"2014-01-01",42.746,50.8145,53.9249,57.7112,52.1393,50.6543,48.6635,50.4014,43.0214,43.6379,57.6131,47.3279,52.7945,40.0874,52.6334,55.0157,51.5408,57.7481,57.1703,59.6444,43.6127,53.5937,60.5147,54.0392,50.2943,53.7845,58.2269,55.2371,48.2765,52.3247,49.2629,70.3508,58.3718,49.0361,60.0089,56.9507,57.4673,48.83,53.2274,52.061,52.9394,56.9084,58.9145,55.9616,56.5745,59.108,48.8507,51.3833,40.4537,61.88,63.5756,50.0684,62.7719,59,55.2695,53.3732,50.378,53.0159,62.0654,58.1945,45.9419,58.1162,61.2419,52.4687
"2014-01-02",45.3335,51.0881,54.2192,50.6813,53.3417,58.6526,47.426,54.2183,46.8797,41.5121,60.062,51.0341,52.6748,39.5501,53.4452,54.8123,50.3969,49.883,58.6922,60.2033,47.048,55.8059,59.9801,55.4387,54.8699,59.2421,58.9172,59.351,46.0607,52.6406,47.1497,63.2948,53.3363,48.4988,51.6191,56.8274,55.9607,49.4501,50.4158,54.2813,55.9094,59.9333,58.7498,53.1131,54.6197,55.652,49.0802,50.8946,44.0546,57.668,58.4051,52.232,63.9014,59.5922,52.6406,58.1396,55.1714,49.3754,57.6032,59.5067,43.3355,55.3271,53.2445,51.7136
"2014-01-03",42.287,50.3618,55.8239,49.55,53.8772,59.6741,51.1286,53.4263,47.2757,43.9592,60.2834,54.5414,50.9198,40.9109,55.7744,54.653,53.4731,43.7639,61.2464,59.4842,48.7913,56.5916,51.0359,60.0746,53.1617,59.0558,57.1091,59.9099,46.571,45.6566,46.8662,55.4459,48.6338,47.7608,50.0369,58.3826,52.4273,49.2287,53.0168,54.7628,56.273,58.6121,54.995,54.7187,54.8384,50.9414,48.5708,47.1335,44.582,57.3305,57.8291,53.7584,63.7529,59.9666,53.0852,60.3473,50.1881,45.2219,58.2692,58.1234,45.8564,51.4814,47.0795,48.7328
"2014-01-04",43.0142,51.4004,53.7935,51.4301,55.1822,58.7894,56.9201,54.6008,45.0797,43.5578,56.6978,55.1633,46.7699,44.4218,59.0909,54.239,47.9759,43.3085,56.8337,59.162,54.1535,57.9578,48.5033,57.3719,54.563,51.4733,51.7244,58.5977,49.0496,47.462,51.2051,52.9943,51.6047,54.8915,51.9656,60.3059,53.5973,45.0167,54.3623,55.6421,56.8985,57.2621,52.5839,52.9079,52.3922,53.0501,52.331,46.8851,43.1852,58.3358,54.7628,53.0006,62.9681,60.9125,49.0991,60.1682,51.2654,44.7395,57.0281,59.1521,49.3214,52.0925,47.0795,48.5582
"2014-01-05",43.5164,50.666,52.0862,54.7997,55.2236,58.1081,58.7831,56.0669,47.7473,50.4959,55.2083,57.506,46.9292,42.2303,58.8533,56.1965,48.4691,52.5209,56.3522,59.0036,52.2392,53.1932,53.5109,50.0243,56.0768,44.5487,50.765,57.4754,49.8659,44.8592,52.1699,57.4475,51.5453,54.3731,54.7511,59.3834,49.9982,47.6375,54.2561,52.1726,54.2777,55.9868,54.3587,51.9098,54.1643,55.6565,54.8204,49.0118,46.7807,58.4204,53.1797,49.9262,55.157,60.575,52.3373,55.8203,53.5964,42.5822,55.1669,59.7722,51.4823,54.9167,51.3464,48.6662
"2014-01-06",43.4444,50.8685,53.9285,58.1585,52.3688,59.5688,53.924,55.9508,48.8129,52.4039,56.6024,53.9933,50.0522,45.2084,56.6474,56.3891,54.6728,60.9557,57.3647,61.9898,52.3166,51.8819,48.1541,50.648,54.5027,45.2219,52.6028,55.3874,51.4409,47.8517,52.4768,61.5515,55.5089,51.4886,54.2093,55.4927,48.4196,49.4141,56.5637,54.9527,53.7629,56.7644,51.476,48.6842,57.2927,59.0108,52.2455,53.9501,46.9283,51.2672,50.9036,49.1198,48.7805,59.8154,52.9007,55.1633,58.8452,46.8455,48.4448,58.3898,55.3487,56.9489,52.241,48.8129
"2014-01-07",43.5695,55.7465,52.25,58.2503,50.5058,56.4845,50.7677,58.7552,46.8185,47.5457,57.614,54.7016,52.4282,50.0693,57.8642,54.1382,48.6977,57.4853,58.0892,63.8915,56.8166,54.0374,44.3156,48.6176,50.6138,44.9834,49.9325,54.8267,49.595,53.0276,55.8698,54.2192,50.8262,54.2687,52.9313,55.0238,45.8015,51.1196,58.3214,55.9922,58.109,53.3372,51.2735,49.9811,58.2305,60.1214,47.1128,58.3637,51.6299,49.4402,50.18,50.4761,51.8891,61.9871,49.7732,53.1743,61.9565,47.3657,49.829,57.9191,54.6332,58.0775,56.0588,51.0161
"2014-01-08",46.7537,59.7983,54.6089,59.8109,57.1847,57.3593,49.7741,57.9128,49.55,46.6709,58.2377,54.2084,50.7371,54.7232,55.7492,54.2939,47.4935,54.6395,57.9002,62.9285,56.9939,50.2016,40.7111,43.4147,46.8356,48.4466,53.7206,53.5892,50.5175,54.5756,57.146,49.0703,50.5679,57.2351,54.9257,55.4207,48.3872,51.7064,61.1825,59.2025,61.277,48.416,46.4009,50.5067,59.6894,58.6895,46.2452,60.4787,48.7418,50.9702,48.9794,51.6182,52.9646,64.7942,52.8494,53.9231,61.6559,48.3638,51.4454,59.0297,50.6939,58.172,58.7705,53.2778
"2014-01-09",53.1329,61.2041,48.5249,56.2622,54.869,57.1415,49.2629,56.8247,52.1897,50.2277,57.2306,55.0283,49.3385,54.4505,58.5068,62.0627,45.9842,54.9131,59.2304,61.3931,57.8705,49.9577,33.7991,42.7055,44.3228,50.6021,55.4747,48.8768,51.5894,58.154,58.1909,46.9526,53.5325,58.6436,56.7617,55.9211,50.7929,58.0496,61.7198,58.5077,60.0332,50.8865,46.7321,54.5549,54.9689,57.8552,47.9957,63.5081,55.8383,53.7431,49.2143,53.8457,49.2944,63.5315,50.0684,53.3786,60.1979,49.829,59.1404,59.7272,50.0918,56.1866,62.5379,54.509
"2014-01-10",56.2298,58.4699,50.5013,52.2797,56.4503,56.219,53.9591,57.8975,53.3498,50.9054,56.1146,54.248,51.8225,55.337,57.8282,63.1229,51.089,54.959,59.63,60.5237,45.32,49.9361,31.9892,46.3217,44.2274,51.2537,55.7222,51.2069,54.6404,59.9729,55.5719,48.6968,57.7535,56.9093,59.6849,56.399,52.0988,56.5295,60.3743,57.4079,59.0297,50.5643,47.0912,56.3126,52.3958,57.2045,50.1287,59.1701,51.7325,55.8554,48.4754,52.4678,48.9956,62.9375,48.6311,53.6864,59.1017,53.0465,64.2218,57.1739,49.9568,56.3963,66.0803,54.1562
"2014-01-11",55.0571,58.2917,51.4472,50.7983,57.0974,58.3268,52.5353,56.7923,54.527,47.9354,53.6603,54.8303,53.6648,57.8912,58.1954,55.9832,51.6641,55.1138,55.9202,57.3908,45.2012,47.1488,39.7985,46.2128,42.3212,49.9982,59.4617,49.8713,55.8887,57.4565,51.8513,51.9944,60.26,55.1318,56.705,56.7185,50.4608,56.6699,56.1551,42.3716,58.1981,51.8351,46.337,51.6344,53.1833,57.1352,48.7679,54.0077,47.4332,57.2045,54.1733,54.7574,43.5218,62.6747,53.8286,54.8834,56.2316,51.4913,68.6048,61.2662,42.1367,57.8138,66.3404,58.1297
