DateTime,Max Rel. Humidity,Min Rel. Humidity 
5/1/2014,74.1822,5.5351
5/2/2014,69.7029,5.4676
5/3/2014,52.0894,3.82
5/4/2014,40.9625,3.4539
5/5/2014,40.0422,5.0328
5/6/2014,55.098,11.7572
5/7/2014,53.9667,18.1593
5/8/2014,100,13.4389
5/9/2014,85.4033,11.0207
5/10/2014,55.1622,10.0073
5/11/2014,64.3518,16.0379
5/12/2014,100,6.6991
5/13/2014,78.9258,5.4465
5/14/2014,52.1562,4.469
5/15/2014,64.1468,4.7771
5/16/2014,52.6676,4.2773
5/17/2014,73.5752,3.4199
5/18/2014,60.4028,2.8672
5/19/2014,66.815,2.5137
5/20/2014,51.0069,4.0979
5/21/2014,53.4939,6.6488
5/22/2014,79.1834,6.8462
5/23/2014,64.8538,11.3323
5/24/2014,77.406,12.0725
5/25/2014,81.9048,12.2895
5/26/2014,98.2783,9.9406
5/27/2014,91.5608,7.6884
5/28/2014,84.3051,7.4909
5/29/2014,85.417,8.9893
5/30/2014,79.2494,11.9778
5/31/2014,79.7591,8.3193
6/1/2014,96.7094,4.7829
6/2/2014,91.8565,2.453
6/3/2014,87.4188,2.7577
6/4/2014,91.3022,1.5717
6/5/2014,100,1.4028
6/6/2014,88.7525,1
6/7/2014,96.6101,1.4409
6/8/2014,83.1156,4.6132
6/9/2014,87.5377,6.6286
6/10/2014,94.2118,7.0055
6/11/2014,83.6349,6.8227
6/12/2014,100,6.0529
6/13/2014,73.6239,7.8828
6/14/2014,69.1449,6.8659
6/15/2014,92.5209,3.738
6/16/2014,71.6831,3.8107
6/17/2014,64.3594,5.6813
6/18/2014,66.095,10.1246
6/19/2014,72.9185,7.5098
6/20/2014,72.7577,6.4815
6/21/2014,65.118,6.757
6/22/2014,82.0636,6.9629
6/23/2014,100,5.1241
6/24/2014,72.4099,5.4912
6/25/2014,66.7935,5.7402
6/26/2014,76.316,8.9978
6/27/2014,74.0404,11.2566
6/28/2014,91.5151,10.3236
6/29/2014,84.9727,11.5766
6/30/2014,93.8545,12.0084
7/1/2014,98.5769,8.4799
7/2/2014,84.9308,6.7782
7/3/2014,67.644,10.4728
7/4/2014,60.0595,21.1344
7/5/2014,65.0522,23.1617
7/6/2014,76.9392,22.4565
7/7/2014,76.4181,19.3479
7/8/2014,89.8328,24.4516
7/9/2014,60.1878,30.4392
7/10/2014,54.7668,24.1769
7/11/2014,69.1877,19.3102
7/12/2014,60.7763,13.777
7/13/2014,66.2731,15.4907
7/14/2014,100,26.5992
7/15/2014,72.7226,29.5685
7/16/2014,63.3,20.0158
7/17/2014,73.1442,13.7098
7/18/2014,81.5977,10.8281
7/19/2014,72.1449,13.9613
7/20/2014,77.989,12.1227
7/21/2014,71.6613,9.1656
7/22/2014,63.8646,8.8199
7/23/2014,82.7879,9.5319
7/24/2014,60.1104,12.0905
7/25/2014,53.5171,13.9114
7/26/2014,50.2158,19.7631
7/27/2014,76.1613,20.0307
7/28/2014,61.5472,17.358
7/29/2014,62.0872,16.5701
7/30/2014,93.6827,12.8313
7/31/2014,100,14.6011
8/1/2014,85.0398,27.4529
8/2/2014,76.4188,25.7293
8/3/2014,71.7868,29.6656
8/4/2014,70.7424,22.23
8/5/2014,62.8304,18.0106
8/6/2014,71.1945,11.1417
8/7/2014,100,10.2603
8/8/2014,95.3499,14.89
8/9/2014,93.8639,18.9452
8/10/2014,96.3937,17.8841
8/11/2014,100,16.8798
8/12/2014,80.3675,29.5571
8/13/2014,69.2711,41.0459
8/14/2014,65.4836,31.2811
8/15/2014,59.891,25.8215
8/16/2014,83.3888,21.7816
8/17/2014,87.878,20.7643
8/18/2014,76.4222,28.4745
8/19/2014,60.6297,42.0322
8/20/2014,56.8786,28.5755
8/21/2014,53.1615,31.9725
8/22/2014,56.8358,29.0985
8/23/2014,52.7851,23.4714
8/24/2014,48.1466,17.5274
8/25/2014,50.3757,22.8281
8/26/2014,60.8193,27.4437
8/27/2014,67.0086,24.9322
8/28/2014,66.9626,16.2613
8/29/2014,62.379,10.3457
8/30/2014,71.5848,7.7961
8/31/2014,78.7532,10.3038
9/1/2014,94.0007,10.4573
9/2/2014,100,9.9598
9/3/2014,85.6134,8.2903
9/4/2014,64.2237,12.0302
9/5/2014,100,24.5846
9/6/2014,96.5098,22.5811
9/7/2014,70.774,25.0521
9/8/2014,74.9828,47.4594
9/9/2014,66.199,42.6921
9/10/2014,100,34.5992
9/11/2014,93.5057,20.6617
9/12/2014,100,16.1967
9/13/2014,74.5925,19.213
9/14/2014,56.2422,20.7259
9/15/2014,100,19.1632
9/16/2014,93.834,34.9869
9/17/2014,81.3662,37.5945
9/18/2014,84.8204,31.3361
9/19/2014,69.9111,31.67
9/20/2014,87.0587,25.5561
9/21/2014,100,24.2054
9/22/2014,62.4706,20.2415
9/23/2014,53.1633,15.6445
9/24/2014,42.2217,12.4975
9/25/2014,53.0667,12.5474
9/26/2014,69.5155,23.9961
9/27/2014,72.6269,33.4163
9/28/2014,76.2279,33.6959
9/29/2014,74.416,20.8403
9/30/2014,67.8904,17.528
10/1/2014,68.2673,12.9578
10/2/2014,100,10.9613
10/3/2014,100,5.7381
10/4/2014,50.1782,6.5128
10/5/2014,54.1772,10.7627
10/6/2014,55.5862,15.0443
10/7/2014,68.478,17.4654
10/8/2014,58.8507,38.8016
10/9/2014,100,43.6082
10/10/2014,100,34.4276
10/11/2014,79.4869,28.3201
10/12/2014,79.7363,21.4662
10/13/2014,100,17.0772
10/14/2014,97.2058,7.8308
10/15/2014,71.7736,12.4488
10/16/2014,74.1539,14.1183
10/17/2014,94.3542,19.6346
10/18/2014,92.2711,21.3552
10/19/2014,80.8348,22.9813
10/20/2014,100,24.9626
10/21/2014,96.2561,21.3153
10/22/2014,70.756,19.7399
10/23/2014,90.2318,18.9506
10/24/2014,94.4218,16.3601
10/25/2014,100,15.1112
10/26/2014,79.2162,22.9543
10/27/2014,100,28.2675
10/28/2014,100,25.0235
10/29/2014,73.5227,15.7506
10/30/2014,69.1388,14.1921
10/31/2014,100,13.0858
11/1/2014,61.3534,28.4992
11/2/2014,37.5372,35.0684
11/3/2014,65.2819,19.8352
11/4/2014,100,10.8239
11/5/2014,65.9644,8.0472
11/6/2014,84.3047,9.0652
11/7/2014,66.6989,14.293
11/8/2014,91.3909,11.9157
11/9/2014,61.8785,11.8801
11/10/2014,100,13.406
11/11/2014,100,18.3715
11/12/2014,57.8023,29.7604
11/13/2014,53.7566,32.5121
11/14/2014,59.0846,43.7698
11/15/2014,49.9938,36.0569
11/16/2014,100,33.2862
11/17/2014,87.2161,5.6393
11/18/2014,93.1302,5.1021
11/19/2014,97.9999,5.6744
11/20/2014,89.8525,7.2489
11/21/2014,95.8142,10.0897
11/22/2014,86.0836,16.5414
11/23/2014,100,15.3428
11/24/2014,100,9.1544
11/25/2014,72.7969,5.2901
11/26/2014,94.0975,3.1984
11/27/2014,76.6652,2.66
11/28/2014,55.5672,6.5721
11/29/2014,74.7263,9.6236
11/30/2014,100,13.5964
12/1/2014,50.0826,25.0238
12/2/2014,62.1881,26.8575
12/3/2014,69.1765,23.086
12/4/2014,81.1354,50.4328
12/5/2014,100,44.9864
12/6/2014,100,42.0774
12/7/2014,83.844,30.9458
12/8/2014,100,29.6678
12/9/2014,93.9407,24.1505
12/10/2014,82.025,25.892
12/11/2014,81.2229,28.8499
12/12/2014,77.1443,22.919
12/13/2014,79.025,43.5802
12/14/2014,92.5108,36.8155
12/15/2014,100,29.7171
12/16/2014,85.146,27.7467
12/17/2014,70.0839,47.2558
12/18/2014,82.1984,50.8386
12/19/2014,85.1435,39.3126
12/20/2014,77.4013,34.8153
12/21/2014,71.8837,32.1646
12/22/2014,100,33.9668
12/23/2014,88.6852,30.089
12/24/2014,92.9393,12.548
12/25/2014,70.5096,14.1563
12/26/2014,99.0276,25.8623
12/27/2014,100,15.0332
12/28/2014,92.0251,15.7693
12/29/2014,85.2679,14.3863
12/30/2014,100,13.5098
12/31/2014,41.669,24.6588
1/1/2015,61.5509,46.0399
1/2/2015,77.3507,26.0333
1/3/2015,100,24.7692
1/4/2015,100,16.1522
1/5/2015,62.3521,11.7207
1/6/2015,65.2224,8.6087
1/7/2015,96.4478,8.3721
1/8/2015,43.9531,20.2786
1/9/2015,72.2605,30.3514
1/10/2015,45.5825,47.203
1/11/2015,58.9497,34.1019
1/12/2015,100,47.8263
1/13/2015,66.3182,53.059
1/14/2015,52.6075,32.4234
1/15/2015,84.3347,23.149
1/16/2015,87.21,18.1951
1/17/2015,94.6968,16.466
1/18/2015,81.7017,16.7497
1/19/2015,95.2618,18.7812
1/20/2015,96.7568,20.6551
1/21/2015,92.3179,21.3343
1/22/2015,100,22.255
1/23/2015,100,11.4514
1/24/2015,79.8246,8.1666
1/25/2015,100,7.5298
1/26/2015,99.6891,13.0037
1/27/2015,93.2687,35.1087
1/28/2015,72.874,41.9234
1/29/2015,100,44.6918
1/30/2015,94.177,85.2849
1/31/2015,62.6961,73.0609
2/1/2015,100,53.4662
2/2/2015,85.1072,37.9261
2/3/2015,70.5973,29.3039
2/4/2015,100,25.0295
